"Company","Leader name","Domain","1) Company Enrich - Linkedin","1) Company Enrich - Employee Range","1) Company Enrich - Description","2) Company Type (2)","2) Company Type - response","3) Company Revenue Model(s)","3) Company Revenue Model(s) - response","4) Company Revenue","4) Enrich Church - Lead Pastor Name","4) Enrich Church - Member Count","4) Enrich Church - Church Denomination","4) Enrich Church - Physical Location Count","Facebook (Company)","Instagram (Company)","7) Instagram Followers","8) Company's media involvement","ENR - Audio Distribution Channels","Audio distribution channel names","audio distribution channel types","Find cumulative ad spend for a company","Sumadspend - Advertisers","Apple Podcast Link","Apple Podcast Link apple Podcast Url","Apple podcast - Avg Uploads (6 Months)","Company Tech Stack","11) Podcast Audience Metrics","Competitive Solutions in Use","Competitive Solutions in Use - response"
"BB World Evangelism","Brian Bolt","bbworldevangelism.com",,,,"Response","Church","Donations, Transactional","Donations, Transactional",,,,,,,,,"TV","{""name"":""FaithNOW"",""url"":""https://faithnow.com/programs/collection-1j4ryy3uhdw"",""frequency"":null,...","Faithnow, Faith Tv, Youtube, Apple Podcasts, Spotify, Givejam Media, Iheart","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/ae/podcast/the-battle-between-your-ears-brian-bolt-on-the-mondo-show/i...","https://podcasts.apple.com/ae/podcast/the-battle-between-your-ears-brian-bolt-on-the-mondo-show/id1772364927?i=1000673036808","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit evidence was found linking BB World Evangelism (bbworldevangelism.com) as a customer, user, or partner of any of the listed companies. The website indicates it is 'Powered by' GoDaddy/ChurchCenter for giving, but none of the target companies were identified as partners or technology providers. Therefore, no matches were found."
"BibleProject","BibleProject","bibleproject.com","https://www.linkedin.com/company/the-bible-project","51-200 employees","A crowdfunded animation and technology organization producing resources that explain the Bible.","Response","Media Ministry","Donations / Crowdfunding / Patronage, Grants / Foundation Funding, Product / Merchandise Sales","Donations / Crowdfunding / Patronage, Grants / Foundation Funding, Product / Merchandise Sales","$10M - $25M",,,,,"facebook.com/jointhebibleproject","https://www.instagram.com/thebibleproject/","1200000","No radio or TV programming details available for BibleProject","{""name"":""BibleProject Website"",""url"":""https://bibleproject.com/podcasts/shows/the-bible-project-p...","Bibleproject Website, App Store Ios, Google Play Android, Apple Podcasts, Spotify, Youtube, Amazon Music, Audible, Iheart","Podcast Directory, Mobile App, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/bibleproject/id1050832450","https://podcasts.apple.com/us/podcast/bibleproject/id1050832450","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/reading-plans/4820-bibleprojec...","BibleProject is a customer or user of bible.com (YouVersion/Bible App) and simplecast.com. Evidence shows The Bible Project provided a reading plan on Bible.com (YouVersion/Bible App). The Bible App/YouVersion (bible.com) hosts a BibleProject reading plan, demonstrating an explicit content partnership/use of the Bible App. BibleProject podcast pages on Simplecast include the explicit phrase ""Podcast powered by Simplecast,"" indicating use of Simplecast. No explicit, authoritative evidence was found linking BibleProject to any of the other companies on the list."
"Bible Training Centre for Pastors","Michele Jackson","thebibletrainingcenter.com",,,,"Response","Parachurch organization","Not found","Not found",,,,,,,,,"No radio or TV programming details available for Bible Training Centre for Pastors","{""name"":""YouTube"",""url"":""https://www.youtube.com/channel/UC8qMxRK6WGSnwgOUdywQ54A"",""frequency"":nu...","Youtube","Streaming Platform","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":""N/A"",""evidenceSnippet"":""N/A""}","No customer relationships were found between Bible Training Centre for Pastors and any of the specified companies (youversion.com, angel.com, bible.com, pushpay.com, pulpitai.com, christianpost.com, gloo.us, glorify.com, simplecast.com, abideomaha.org, sharefaith.com, faithwire.com, churchtechonline.com, cbndigital.com.tr, ytatv.com, churchtranslation.org, rightnowmedia.org, livevoice.io, cbn.com, emfmedia.com, salemmedia.com, daystar.com, tct.tv, bottradionetwork.com, afr.net, wrjz.com, ytatv.com, tbn.org)."
"Bolz Ministries","Shawn Bolz","bolzministries.com","https://www.linkedin.com/company/bolz-ministries","2-10 employees","Bolz Ministries is a company based out of Los Angeles, CA, United States.","Response","Media Ministry","Donations, Transactional, Subscription","Donations, Transactional, Subscription","$0-$1M",,,,,"shawnbolz","https://www.instagram.com/tv/CWUTzMyJMnR/","275703599","TV, Radio","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/3K3dkfVXHGB4Lq92diN00f"",""frequency"":null,""...","Spotify, Apple Podcasts, Libsyn, Youtube, Libsyn, Apple Podcasts, Spotify","Streaming Platform, Podcast Directory","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/exploring-the-marketplace/id1315785245","https://podcasts.apple.com/us/podcast/exploring-the-marketplace/id1315785245","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched Bolz Ministries (bolzministries.com and courses.bolzministries.com) for explicit evidence that Bolz Ministries (domain bolzministries.com) is a customer or user of any company on the provided list. I also searched the listed companies’ domains and general web queries for explicit statements linking Bolz Ministries as a customer, partner, or listed client. Sources reviewed include Bolz Ministries site pages (partner letters, media pages, store, courses, give/payment pages) and vendor/home pages where applicable. I found explicit statements on Bolz Ministries’ site that the ministry has appeared on/been featured on media programs (example: TBN PRAISE show, CBN 700 Club and Faith Links, Daystar shows). These are media appearance statements, not explicit statements that Bolz Ministries is a customer, partner, or user of those vendor platforms in the sense required by the task. I did not find any explicit evidence (logo wall, case study, testimonial, partner/customer listing, vendor press release, or technology integration statement) on bolzministries.com or on the listed companies’ sites that states Bolz Ministries is a customer or user of any company in the provided list. Therefore, no customer relationships were found."
"Brave","Pastor Jeff Schwarzentraub","brave.org","https://www.linkedin.com/company/bravechurchdenver","51-200 employees","We exist to Challenging BRAVE Warriors for Courageous Kingdom Advancement.","Response","Church","Donations, Recurring donations/subscriptions","Donations, Recurring donations/subscriptions","$10M - $25M",,,,,"facebook.com/hbcdenver","https://www.instagram.com/thebravefoundation/","2767","Radio, TV","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/034toK7WFPub3IDYnGsgRD"",""frequency"":null,""...","Spotify, Apple Podcasts, Youtube, Podbean, Myfaithradio, Brave Church Ios App Store, Brave Church Android Google Play, Brave Church Official Website Sermons Page, Brave Church Live Stream","Streaming Platform, Podcast Directory, Online Radio, Mobile App","❌ No spend data found",,"Response","",,"Response",,"{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit evidence was found that brave.org (the BRAVE Church site at brave.org) is a customer, partner, or otherwise a documented user of any of the companies in the provided list. No case study, testimonial, partner listing, press release, logo wall, or other explicit statement linking brave.org to any listed company was located on brave.org or on the listed companies’ public sites."
"BRAVE Church","Pastor Jeff Schwarzentraub","bravechurch.online","https://www.linkedin.com/company/bravechurchdenver","51-200 employees","We exist to Challenging BRAVE Warriors for Courageous Kingdom Advancement.","Response","Church","Donations","Donations","$10M - $25M","Ricky Hughes",,,3,"https://facebook.com/hbcdenver","https://www.instagram.com/bravechurch/","4843","Radio","{""name"":""Spotify"",""url"":""https://open.spotify.com/show/034toK7WFPub3IDYnGsgRD"",""frequency"":null,""...","Spotify, Apple Podcasts, Youtube, Myfaithradio","Streaming Platform, Podcast Directory, Radio Station","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/brave-church/id996090554","https://podcasts.apple.com/us/podcast/brave-church/id996090554","1","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit, public evidence was found that BRAVE Church (bravechurch.online) is a customer or user of any company in the provided list."
"Brown Missionary Baptist Church","Bartholomew Orr","brownbaptist.org","https://www.linkedin.com/company/brown-missionary-baptist-church","51-200 employees","Brown is committed to Changing Lives and Making A Difference while creating a community that loves God and people above all else.","Response","Church","Donations (one-time & recurring), Planned/major gifts (stocks, bonds, property), Retail sales (bo...","Donations (one-time & recurring), Planned/major gifts (stocks, bonds, property), Retail sales (bookstore/merchandise/marketplace), Fundraising / Event fees, Service fees (e.g., funerals/facility use)","$10M - $25M","Dr. Bartholomew Orr",,"Baptist",3,"http://www.facebook.com/pages/Brown-Missionary-Baptist-Church/85483198949","https://www.instagram.com/brownbaptist/","17500","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/make-it-make-sense/id179439...","Apple Podcasts, Youtube, Brown Missionary Baptist Church Website, Brown Missionary Baptist Church Website, Bmbc App, Facebook, Instagram","Podcast Directory, Streaming Platform, Mobile App, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/make-it-make-sense/id1794396196","https://podcasts.apple.com/us/podcast/make-it-make-sense/id1794396196","1.8","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No customer relationships were found between Brown Missionary Baptist Church and the specified companies."
"Calvary Chapel","Rick Wiles","calvarybrentwood.org","https://www.linkedin.com/company/calvary-chapel-brentwood","2-10 employees","Here at Calvary Chapel Brentwood we take the Bible literally; simply teaching The Word simply.  Each message is taken directly from the Bible and taught scripture by scripture, verse by verse so that all can understand what God is saying to us, and apply it to a normal, everyday life. “Rejoice always” may seem unobtainable, but according to God’s Word, that is His Will, this is exactly what He wants us to strive for in this life. God’s Word is powerful and alive. So, regardless of our own trials and celebrations, He is speaking directly to each one of us according to our need at that moment in time.

Jesus Christ invites everyone to follow Him, reminding us that He is our shepherd and will never leave us or abandon us. As the apostle Peter stepped out from the security of the boat, Jesus stretched out His loving hand and saved him from sinking – just as He rescues us every day when we loose our focus.

Calvary Chapel Brentwood encourages a full time, personal relationship with Jesus Christ that produces a positive change in lifestyle experiences.  We also promote fellowship with our brothers and sisters for accountability that builds us up to spread the Gospel and bring others to Jesus Christ. God sent His Son to be the Savior of the World, and it is our responsibility to be witnesses, spreading the Agape love of Jesus Christ to everyone. It is God’s Will that none be lost and all come to repentance. We must turn away from sin, so we may obtain a positive change in lifestyle.","Response","Church","Donations (tithes/offerings/online giving)","Donations (tithes/offerings/online giving)","$5M - $10M","Rob Taylor",,"Non-Denominational",1,"http://www.facebook.com/CalvaryBrentwood","https://www.instagram.com/calvarybrentwood/","1004","both","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/calvary-chapel-brentwood/id...","Apple Podcasts, Spotify, Youtube","Podcast Directory, Streaming Platform","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/calvary-chapel-brentwood/id1451313674","https://podcasts.apple.com/us/podcast/calvary-chapel-brentwood/id1451313674","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","Based on the searches and site scrapes, there is no explicit publicly-available evidence that Calvary Chapel (calvarybrentwood.org) is a customer or user of any of the companies in the provided list. Therefore, the extraction result is: ""None found""."
"Calvary Chapel Chino Hills","James Kaddis","calvarycch.org","https://www.linkedin.com/company/calvary-chapel-chino-hills","11-50 employees","Calvary Chapel Chino Hills is a non-profit religion church.","Response","Church","Donations (one-time and recurring/tithes), Merchandise/Product Sales, Event Registration Fees, Gi...","Donations (one-time and recurring/tithes), Merchandise/Product Sales, Event Registration Fees, Gifts/Asset Donations","$1M - $5M","Jack Hibbs",10000,"Non-Denominational",1,"https://facebook.com/calvarychapelchinohills","The official Instagram profile for Calvary Chapel Chino Hills is: https://www.instagram.com/calvarychapelchinohills/","83200","TV","{""name"":""Calvary Chapel Chino Hills Website"",""url"":""https://calvarycch.org"",""frequency"":null,""mar...","Calvary Chapel Chino Hills Website, Apple Podcasts, Youtube, Spotify, Ccch Mobile App Ios, Ccch Mobile App Google Play, Ccch Mobile App Amazon Appstore, Ccch Mobile App Roku, Tunein, Tunein, Amazon Music, Amazon Music, Iheartradio, Iheartradio, Jackhibbs Com, Oneplace, Jack Hibbs Podcast Website","Other, Podcast Directory, Streaming Platform, Mobile App, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/calvary-chapel-chino-hills/id75112144","https://podcasts.apple.com/us/podcast/calvary-chapel-chino-hills/id75112144","2.7","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://calvarycch.org/give/"",""evidenceSnippet"":""[...","Calvary Chapel Chino Hills uses pushpay.com as a provider. This relationship is evidenced by the church's 'Give' page, which links directly to a Pushpay hosted giving page that displays the church's name."
"Calvary Church","Skip Heitzig","calvarynm.church","https://www.linkedin.com/company/sopo-roasting-&-brewing-company",,,"Response","Church","Donations, Grants, Facility Rental, Program Fees","Donations, Grants, Facility Rental, Program Fees","$10M - $25M",,,,,"http://www.facebook.com/calvaryabq","https://www.instagram.com/skipheitzig/","40300","Radio, TV","{""name"":""Calvary Live"",""url"":""https://live.calvarynm.church/"",""frequency"":null,""marketCity"":null,...","Calvary Live, Youtube, Calvary Church Ios, Calvary Church Android, Apple Podcasts, Spotify, Apple Podcasts, Spotify, Tunein, Stitcher, Radiopublic, Iheartradio, Truthnetwork On Demand, Blubrry, Kwave, Csn Radio, 990 Am The Word, The Light Fm","Streaming Platform, Mobile App, Podcast Directory, Radio Station","✅ Spend data found for calvarynm.church",2.7059900760650635,"https://itunes.apple.com/podcast/calvary-albuquerque-skip-heitzig/id73331413?mt=2","https://itunes.apple.com/podcast/calvary-albuquerque-skip-heitzig/id73331413?mt=2","0.5","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://calvarynm.church/give/"",""evidenceSnippet"":...","Calvary Church (calvarynm.church) is explicitly associated with pushpay.com and bible.com. No other matches from the provided list were found in the searched authoritative pages."
"Calvary Church of Albuquerque","Skip Heitzig","calvaryabq.org","https://www.linkedin.com/company/calvary-chapel-of-albuquerque","51-200 employees","Everything we do is about creating life change and we want to build and provide opportunities for change in every realm of life: spiritually, relationally, professionally, and emotionally. We want to see people give their lives to Jesus Christ and become better husbands and wives, mothers and fathers, and employees and business owners. A relationship with Jesus makes life better—and it makes you better at life.","Response","Church","Donations (tithes/offerings), Facility rental / venue rental and event fees (transactional), Prog...","Donations (tithes/offerings), Facility rental / venue rental and event fees (transactional), Program/event fees, Parking/facility-use fees, Grants (including possible government relief or designated grants)","$10M - $25M","Skip Heitzig",16830,"Non-Denominational",3,"http://www.facebook.com/calvaryabq","https://www.instagram.com/reel/DKXmfHuvtIc/","275000000","Radio, TV","{""name"":""YouTube"",""url"":""https://www.youtube.com/calvaryabq"",""frequency"":null,""marketCity"":null,""...","Youtube, Apple Podcasts, Spotify, Google Podcasts, Tunein, Feedburner","Streaming Platform, Podcast Directory, Online Radio, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/calvary-church-with-skip-heitzig-audio-podcast/id73331413","https://podcasts.apple.com/us/podcast/calvary-church-with-skip-heitzig-audio-podcast/id73331413","0","Response","Response","{""matchedCompany"":""bible.com"",""evidenceUrl"":""https://www.bible.com/sw/organizations/163c1aef-bfeb...","Calvary Church of Albuquerque is a customer of bible.com. Evidence shows Calvary Church (Calvary Albuquerque / Calvary Church in NM) has content and event listings on Bible.com (YouVersion), indicating the church uses Bible.com/YouVersion services. No explicit, authoritative evidence was found linking Calvary Church of Albuquerque (calvaryabq.org / calvarynm.church) to any other companies in the provided list."
"Cascade Hills Church","Brent Purvis","cascadehills.com","https://www.linkedin.com/company/cascade-hills-baptist-church-inc","11-50 employees","From humble beginnings to a church now reaching people for Christ around the globe, the mission of Cascade Hills has remained consistent. “To make fully devoted followers of Jesus Christ out of irreligious people"". We are THE CHURCH FOR THE UNCHURCHED.","Response","Church","Donations/Offerings, Retail Sales, Transactional Sales","Donations/Offerings, Retail Sales, Transactional Sales","$1M - $5M",,7000,"Non-Denominational",2,"http://www.facebook.com/CascadeHills","https://www.instagram.com/cascadehillschurch/","10300","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/cascade-hills/id1112784716""...","Apple Podcasts, Spotify, Spotify, Youtube, Facebook, Cascade Hills App, Cascade Hills App, Cascade Hills App, Roku, Apple Tv","Podcast Directory, Streaming Platform, Mobile App, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/cascade-hills/id1112784716","https://podcasts.apple.com/us/podcast/cascade-hills/id1112784716","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","No explicit, authoritative public evidence was found that Cascade Hills Church (cascadehills.com) is a customer or user of any of the companies in the provided list."
"Cathedral of Faith","Pastor Ken Foreman","cathedraloffaith.org","https://www.linkedin.com/company/cathedral-of-faith","201-500 employees","CATHEDRAL OF FAITH

We are located in the heart of Silicon Valley. We are a multi-cultural, multi-generational, multi-sensory, non-denominational Church that has grown in every decade since the 1960’s. In 2013, we have a total of 7 other sites in the Bay area. Outreach Magazine listed Cathedral of Faith as on the top 100 Churches in the Nation.","Response","Church","Donations (Tithes/Offerings), Merchandise Sales, Event Ticketing/Fundraising","Donations (Tithes/Offerings), Merchandise Sales, Event Ticketing/Fundraising","$5M - $10M","Ken Foreman",8200,"Non-Denominational",11,"http://www.facebook.com/COFpage","https://www.instagram.com/cathedraloffaith/","5598","TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/cathedral-of-faith/id135425...","Apple Podcasts, Podbean, Spotify, Youtube, Cathedral Of Faith App Ios, Cathedral Of Faith App Android, Cathedral Of Faith Live Stream, Google Play Music, Vimeo","Podcast Directory, Streaming Platform, Mobile App, Online Radio","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/cathedral-of-faith/id1354251296","https://podcasts.apple.com/us/podcast/cathedral-of-faith/id1354251296","0","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://cathedraloffaith.org/"",""evidenceSnippet"":""...","Match found: pushpay.com. Evidence shows cathedraloffaith.org links to Pushpay for its app/giving. No other companies from the provided list were found to have an explicit, authoritative association with Cathedral of Faith (domain cathedraloffaith.org) after searching the target site and credible third-party sources. I also found a Bible.com entry for ""Cathedral of Faith Philippines"" (a separate organization) which is not the cathedraloffaith.org entity and therefore not counted."
"Champion Forest Baptist Church","Jarrett Stephens","championforest.org","https://www.linkedin.com/company/champion-baptist-church","2-10 employees","Champion Baptist Church is a religious institutions company based out of 556 Center St W, Warren, Ohio, United States.","Response","Church","Donations (one-time and recurring), Non-cash contributions","Donations (one-time and recurring), Non-cash contributions","$0-$1M","Jarrett Stephens",8000,"Southern Baptist",4,"http://www.facebook.com/championforest","https://www.instagram.com/championforest/","10600","Radio, TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/champion-forest-baptist-chu...","Apple Podcasts, Spotify, Apple Podcasts, Spotify, Apple Podcasts, Spotify, Youtube, Apple Podcasts, Spotify, Youtube, Apple Podcasts, Youtube, Champion Forest Baptist Church Website","Podcast Directory, Streaming Platform, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/champion-forest-baptist-church-sunday-worship/id90214613","https://podcasts.apple.com/us/podcast/champion-forest-baptist-church-sunday-worship/id90214613","0","Response","Response","{""matchedCompany"":""pushpay.com"",""evidenceUrl"":""https://www.championforest.org/serve/giving/"",""evi...","Champion Forest Baptist Church is explicitly associated with pushpay.com and rightnowmedia.org based on the evidence below."
"Charlie Kirk","Charlie Kirk","charliekirk.com",,,,"Response","Media Channel","Subscription, Transactional, Donations, Advertising/Sponsorship, Events/Ticket sales","Subscription, Transactional, Donations, Advertising/Sponsorship, Events/Ticket sales","$5M - $10M",,,,,,"https://www.instagram.com/charliekirk1776/","13900000","Radio and TV","{""name"":""Apple Podcasts"",""url"":""https://podcasts.apple.com/us/podcast/the-charlie-kirk-show/id146...","Apple Podcasts, Spotify, Amazon Music, Iheartradio, Audacy, Salem Podcast Network, Salem Radio Network, Salem News Channel, Am 870 The Answer, Wfmd, Wbob","Podcast Directory, Streaming Platform, Radio Station, Other","❌ No spend data found",,"https://podcasts.apple.com/us/podcast/the-charlie-kirk-show/id1460600818","https://podcasts.apple.com/us/podcast/the-charlie-kirk-show/id1460600818","0","Response","Response","{""matchedCompany"":""None found"",""evidenceUrl"":"""",""evidenceSnippet"":""""}","I searched the Charlie Kirk site (charliekirk.com) and performed targeted site searches and vendor-site checks for explicit evidence that Charlie Kirk (charliekirk.com) is a customer/user of any of the listed companies. I found no explicit evidence that Charlie Kirk is a customer or user of any company in the provided list. The only vendor-domain appearance on Charlie Kirk’s site was a sponsor link to angel.com (angel.com/charlie) on the Show Sponsors page; this indicates a sponsorship/advertiser relationship (angel.com listed as a sponsor on Charlie Kirk’s site) but does not provide explicit evidence that Charlie Kirk is a customer of angel.com. Therefore, per the requirement to only record explicit customer relationships (case studies, customer lists, testimonials, vendor directories, press releases stating Charlie Kirk uses the vendor), no matches were found."
